二零一七年按疾病类别划分的住院病人出院及死亡人次及全港登记死亡人数,,,,,,,,,
,,,,,,,,,
《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A75,斑疹伤寒,29,0,1,30,0,0,0,0
A80,急性脊髓灰质炎,0,0,0,0,0,0,0,0
A82,狂犬病,0,0,0,0,1,0,0,1
A83-A86,病毒性脑炎,26,0,16,42,2,0,0,2
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,74,0,18,92,0,0,0,0
B00,疱疹病毒感染,341,0,67,408,0,2,0,2
B01-B02,水痘和带状疱疹,1776,23,213,2012,0,1,0,1
B05,麻疹,2,0,0,2,0,0,0,0
B06,风疹,0,0,0,0,0,0,0,0
B15,急性甲型肝炎,46,0,18,64,0,0,0,0
B16,急性乙型肝炎,245,0,43,288,10,9,0,19
B17,其他急性病毒性肝炎,101,0,36,137,1,1,0,2
B18,慢性病毒性肝炎,1132,0,20,1152,18,9,0,27
B19,未特指的病毒性肝炎,9,0,27,36,1,0,0,1
B20-B24,人类免疫缺陷病毒病,552,0,9,561,11,4,0,15
B26,流行性腮腺炎,6,0,0,6,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,11113,3,4973,16089,4,11,0,15
B35-B49,霉菌病,455,0,52,507,20,8,0,28
B50-B54,疟疾,41,0,0,41,0,1,0,1
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,3,0,0,3,0,0,0,0
B66,其他吸虫感染,10,0,1,11,0,0,0,0
B67,棘球蚴病,1,0,0,1,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,1,0,1,2,0,0,0,0
B76,钩虫病,1,0,0,1,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,19,0,4,23,0,0,0,0
B90,结核病后遗症,158,0,0,158,3,2,0,5
B91,脊髓灰质炎后遗症,4,0,0,4,1,0,0,1
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,244,2,32,278,7,7,0,14
C11,鼻咽恶性肿瘤,6544,0,666,7210,224,72,0,296
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2463,1,322,2786,144,70,0,214
C15,食管恶性肿瘤,2236,0,228,2464,241,56,0,297
C16,胃恶性肿瘤,5462,0,626,6088,420,262,0,682
C18,结肠恶性肿瘤,18650,3,2156,20809,807,617,0,1424
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,12935,0,1293,14228,467,247,0,714
C22,肝和肝内胆管恶性肿瘤,9114,0,1368,10482,1126,426,0,1552
C25,胰恶性肿瘤,4106,0,642,4748,387,303,0,690
"C17, C23-C24, C26",消化器官其他恶性肿瘤,1267,0,188,1455,112,133,0,245
C32,喉恶性肿瘤,586,0,54,640,50,5,0,55
C33-C34,气管、支气管和肺恶性肿瘤,26075,0,2958,29033,2596,1294,0,3890
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,833,3,104,940,32,18,0,50
C40-C41,骨和软骨恶性肿瘤,457,0,85,542,19,15,0,34
C43,皮肤恶性黑色素瘤,232,0,63,295,30,22,0,52
C44,皮肤其他恶性肿瘤,849,0,177,1026,16,10,0,26
C45-C49,间皮组织和软组织恶性肿瘤,2578,0,266,2844,75,80,0,155
C50,乳房恶性肿瘤,36726,0,3862,40588,3,721,0,724
C53,宫颈恶性肿瘤,3523,0,335,3858,0,150,0,150
C54-C55,子宫其他和未特指部位的恶性肿瘤,3013,0,698,3711,0,172,0,172
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,5368,0,788,6156,0,263,0,263
C61,前列腺恶性肿瘤,4765,0,937,5702,443,0,0,443
"C60, C62-C63",男性生殖器官其他恶性肿瘤,344,0,91,435,11,0,0,11
C67,膀胱恶性肿瘤,3624,0,731,4355,134,66,0,200
"C64-C66, C68",泌尿道其他恶性肿瘤,1636,7,405,2048,156,95,0,251
C69,眼和附器恶性肿瘤,368,0,11,379,2,0,0,2
C71,脑恶性肿瘤,1437,2,197,1636,63,43,0,106
"C70, C72",中枢神经系统其他部位的恶性肿瘤,28,0,38,66,2,3,0,5
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,9182,0,1976,11158,429,373,0,802
C81,霍奇金[何杰金]淋巴瘤,1075,0,76,1151,4,1,0,5
C82-C85,非霍奇金淋巴瘤,11339,0,871,12210,231,164,0,395
C91-C95,白血病,14258,0,241,14499,185,129,0,314
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,9433,0,183,9616,78,57,0,135
D06,宫颈原位癌,284,0,353,637,0,0,0,0
D22-D23,皮肤良性肿瘤,1712,0,816,2528,0,0,0,0
D24,乳房良性肿瘤,149,0,1246,1395,0,0,0,0
D25,子宫平滑肌瘤,3882,0,3769,7651,0,0,0,0
D27,卵巢良性肿瘤,277,0,782,1059,0,0,0,0
D30,泌尿器官良性肿瘤,7,0,52,59,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,122,0,145,267,1,0,0,1
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,25046,3,11331,36380,135,169,0,304
D50,缺铁性贫血,3769,1,307,4077,0,3,0,3
D51-D64,其他贫血,21344,13,955,22312,19,24,0,43
D65-D77,血液和造血器官的出血性情况及其他疾病,5747,0,470,6217,13,26,0,39
D80-D89,某些涉及免疫机制的疾患,977,0,48,1025,3,1,0,4
E00-E02,碘缺乏相关性甲状腺疾患,0,0,3,3,0,0,0,0
E05,甲状腺毒症,2232,0,524,2756,2,3,0,5
"E03-E04, E06-E07",甲状腺其他疾患,4128,1,1594,5723,0,4,0,4
E10-E14,糖尿病,13274,281,521,14076,185,215,0,400
E40-E46,营养不良,32,0,8,40,3,2,0,5
E50,维生素A缺乏,0,0,0,0,0,0,0,0
E51-E56,其他维生素缺乏,249,0,5,254,1,1,0,2
E64,营养不良和其他营养缺乏的后遗症,1,0,0,1,0,0,0,0
E66,肥胖,2016,0,36,2052,0,1,0,1
E86,血容量缺失,1643,0,103,1746,1,2,0,3
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,22824,0,761,23585,31,47,0,78
F00-F03,认知障碍症,5243,23,53,5319,557,898,0,1455
F10,由于使用酒精引起的精神和行为障碍,1889,36,9,1934,2,0,0,2
F11-F19,使用其他精神活性物质引起的精神和行为障碍,2543,3524,5,6072,0,0,0,0
F20-F29,精神分裂症、分裂型障碍和妄想性障碍,9655,407,8,10070,2,2,0,4
F30-F39,心境[情感]障碍,4678,106,59,4843,0,0,0,0
F40-F48,神经症性、应激相关的以及躯体形式的障碍,4525,9,83,4617,0,0,0,0
F70-F79,精神发育迟滞,2067,15,0,2082,0,0,0,0
"F04-F09, F50-F69, F80-F99",其他精神和行为障碍,3603,440,84,4127,1,0,0,1
G00-G09,中枢神经系统炎性疾病,805,0,93,898,26,14,0,40
G20,帕金森病,1946,0,82,2028,55,51,0,106
G30,阿尔茨海默病,1066,0,7,1073,15,31,0,46
G35,多发性硬化,202,0,24,226,1,2,0,3
G40-G41,癫痫,4630,97,171,4898,18,17,0,35
G43-G44,偏头痛和其他头痛综合症,521,22,786,1329,0,0,0,0
G45,短暂性大脑缺血性发作和相关的综合症,2496,0,330,2826,0,0,0,0
G50-G59,神经、神经根和神经丛疾患,3128,0,1038,4166,0,0,0,0
G80-G83,大脑性麻痹[瘫痪]和其他麻痹[瘫痪]综合症,1004,32,34,1070,6,4,0,10
"G10-G14, G21-G26, G31-G32, G36-G37, G46-G47, G60-G73, G90-G99",神经系统其他疾患,14977,6,3344,18327,92,78,0,170
H00-H01,眼睑炎症,278,8,533,819,0,0,0,0
H10-H13,结膜炎和结膜的其他疾患,1725,30,113,1868,0,0,0,0
H15-H19,角膜炎以及巩膜和角膜的其他疾患,762,6,126,894,0,0,0,0
H25-H28,白内障和晶状体的其他疾患,27134,0,2852,29986,0,0,0,0
H33,视网膜脱离及断裂,1267,0,604,1871,0,0,0,0
H40-H42,青光眼,1239,0,158,1397,0,0,0,0
H49-H50,斜视,1065,0,358,1423,0,0,0,0
H52,屈光和调节疾患,34,0,8,42,0,0,0,0
H54,视力损害包括盲(双眼或单眼),54,0,3,57,0,0,0,0
"H02-H06, H20-H22, H30-H32, H34-H36, H43-H48, H51, H53, H55-H59",眼和附器其他疾病,8939,5,1773,10717,0,0,0,0
H65-H75,中耳炎以及中耳和乳突其他疾患,2174,0,904,3078,0,0,0,0
H90-H91,听觉丧失,1788,0,370,2158,0,0,0,0
"H60-H62, H80-H83, H92-H95",中耳和乳突其他疾患,2839,6,2331,5176,0,1,0,1
I00-I02,急性风湿热,22,0,3,25,0,0,0,0
I05-I09,慢性风湿性心脏病,1467,0,66,1533,27,59,0,86
I10,特发性(原发性)高血压,15714,128,1688,17530,49,42,0,91
I11,高血压性心脏病,310,10,33,353,334,368,0,702
I12,高血压性肾脏病,925,1,7,933,23,24,0,47
I13,高血压性心脏和肾脏病,658,0,4,662,2,0,0,2
I15,继发性高血压,551,238,6,795,0,0,0,0
I21-I22,急性心肌梗死,9210,0,321,9531,915,683,0,1598
"I20, I23-I25",其他缺血性心脏病,16974,0,7490,24464,1359,910,0,2269
I26,肺栓塞,607,0,74,681,26,19,0,45
I44-I49,传导疾患和心律失常,18196,0,2055,20251,70,106,0,176
I50,心力衰竭,19636,0,539,20175,361,515,0,876
"I27-I43, I51-I52",其他心脏病,5547,1,626,6174,229,155,0,384
I60-I62,颅内出血,7736,0,211,7947,732,577,0,1309
I63,脑梗死,10258,0,309,10567,44,51,0,95
I64,中风，未特指为出血或梗死,3225,1,479,3705,455,580,0,1035
I65-I69,其他脑血管病,3179,0,463,3642,315,370,0,685
I70,动脉粥样硬化症,532,0,27,559,0,0,0,0
I73,其他周围血管疾病,795,0,45,840,11,13,0,24
I74,动脉栓塞和血栓形成,261,0,23,284,3,0,0,3
I71,主动脉动脉瘤和动脉壁夹层形成,1956,0,94,2050,210,108,0,318
"I72, I77-I79",其他动脉、小动脉和毛细管的其他疾病,647,0,217,864,26,7,0,33
I80-I82,静脉炎、血栓静脉炎、静脉栓塞和血栓形成,1531,0,162,1693,11,21,0,32
I83,下肢静脉曲张,3355,0,701,4056,2,0,0,2
I84,痔,11446,15,12655,24116,0,0,0,0
I85-I99,循环系统其他疾病,4348,1,798,5147,5,16,0,21
J02-J03,急性咽炎和急性扁桃体炎,2603,5,2382,4990,0,0,0,0
J04,急性喉炎和气管炎,55,5,59,119,0,1,0,1
"J00-J01, J05-J06",其他急性上呼吸道感染,18990,882,4804,24676,3,0,0,3
J09-J11,流行性感冒,13097,6,4709,17812,70,85,0,155
J12-J18,肺炎,55779,0,4667,60446,4360,3672,0,8032
J20-J21,急性支气管炎和急性细支气管炎,6691,1,4846,11538,1,4,0,5
J32,慢性鼻窦炎,398,0,934,1332,0,0,0,0
"J30-J31, J33-J34",鼻和鼻窦其他疾病,2128,35,2357,4520,0,0,0,0
J35,扁桃体和腺样体慢性疾病,657,0,756,1413,0,0,0,0
J36-J39,上呼吸道其他疾病,2634,125,1256,4015,3,0,0,3
J40-J44,支气管炎、肺气肿和其他慢性阻塞性肺病,27846,7,1757,29610,1027,196,0,1223
J45-J46,哮喘,7764,399,445,8608,38,58,0,96
J47,支气管扩张症,2932,0,311,3243,84,102,0,186
J60-J65,尘肺,115,12,6,133,42,2,0,44
"J22, J66-J99",呼吸系统其他疾病,17089,13,2805,19907,378,276,0,654
K02,龋(齿),821,4,114,939,0,0,0,0
"K00-K01, K03-K08",牙齿及支持结构的其他疾患,2976,59,299,3334,0,0,0,0
K09-K14,口腔、涎腺和颌的其他疾病,2223,33,844,3100,1,1,0,2
K25-K27,胃和十二指肠溃疡,6818,13,6019,12850,60,39,0,99
K29,胃炎和十二指肠炎,9937,5,41985,51927,4,2,0,6
"K20-K23, K28, K30-K31",食管、胃和十二指肠其他疾病,6975,38,10028,17041,6,4,0,10
K35-K38,阑尾疾病,3037,0,1337,4374,4,0,0,4
K40,腹股沟疝,7245,35,2697,9977,9,1,0,10
K41-K46,其他疝,2136,2,511,2649,4,9,0,13
K50-K51,克罗恩[克隆]病和溃伤性结肠炎,2244,0,355,2599,1,1,0,2
K56,无力性肠梗阻和肠梗阻不伴有疝,3437,0,473,3910,55,56,0,111
K57,肠憩室性疾病,5357,0,1968,7325,10,13,0,23
"K52-K55, K58-K67",肠和腹膜其他疾病,40506,49,15367,55922,182,189,0,371
K70,酒精性肝病,611,0,15,626,43,5,0,48
K73-K74,慢性肝病及肝硬化,862,0,101,963,146,107,0,253
"K71-K72, K75-K76",其他肝病,5092,37,635,5764,70,52,0,122
K80-K81,胆石病和胆囊炎,11101,1,3361,14463,41,34,0,75
K85-K86,急性胰腺炎和胰腺其他疾病,2482,1,326,2809,35,47,0,82
"K82-K83, K87-K93",消化系统其他疾病,10461,15,772,11248,169,165,0,334
L00-L08,皮肤和皮下组织感染,19199,35,2522,21756,25,11,0,36
L10-L99,皮肤和皮下组织其他疾病,18331,114,3923,22368,57,68,0,125
M05-M14,类风湿性关节炎和其他炎性多关节病,11164,179,880,12223,9,12,0,21
M15-M19,关节病,8042,5,1930,9977,0,1,0,1
M20-M21,四肢后天性变形,1583,0,329,1912,0,0,0,0
"M00-M03, M22-M25",其他关节疾患,10383,17,1671,12071,10,10,0,20
M30-M36,全身性结缔组织疾患,4250,0,331,4581,17,42,0,59
M50-M51,颈和其他椎间盘疾患,750,0,2304,3054,0,0,0,0
"M40-M49, M53-M54",其他背部病,23777,41,4254,28072,6,7,0,13
M60-M79,软组织疾患,9099,15,3211,12325,38,12,0,50
M80-M85,骨密度和结构的疾患,1795,50,196,2041,2,1,0,3
M86,骨髓炎,518,0,33,551,2,10,0,12
M87-M99,肌肉骨骼系统和结缔组织其他疾病,1679,0,2738,4417,0,0,0,0
N00-N01,急性肾炎综合症和急进型肾炎综合症,19,0,11,30,1,2,0,3
N02-N08,其他肾小球疾病,1478,0,272,1750,24,30,0,54
N10-N16,肾小管间质疾病,4875,7,1194,6076,13,19,0,32
N17-N19,肾衰竭,158605,14,956,159575,795,806,0,1601
N20-N23,尿石病,9762,1,5565,15328,5,3,0,8
N25-N27,其他肾脏疾病,152,0,12,164,1,0,0,1
N30,膀胱炎,1133,0,2312,3445,0,0,0,0
"N28-N29, N31-N39",泌尿系统其他疾病,26362,2,2747,29111,210,334,0,544
N40,前列腺增生,6291,0,1895,8186,2,0,0,2
N41-N42,前列腺其他疾患,301,0,542,843,0,0,0,0
N43,水囊肿[睪丸鞘膜积液]和精子囊肿,438,0,167,605,0,0,0,0
N47,包皮过长、包茎和包茎嵌顿,1567,1,439,2007,0,0,0,0
"N44-N46, N48-N51",男性生殖器官其他疾病,3123,0,2709,5832,8,0,0,8
N60-N64,乳房疾患,4478,0,2829,7307,0,0,0,0
N70,输卵管炎和卵巢炎,536,0,152,688,0,0,0,0
N72,宫颈炎性疾病,6,0,221,227,0,0,0,0
"N71, N73-N77",女性盆腔器官其他炎性疾病,2327,0,1031,3358,0,5,0,5
N80,子宫内膜异位,1186,0,961,2147,0,0,0,0
N81,女性生殖器脱垂,1359,0,166,1525,0,0,0,0
N83,卵巢、输卵管和阔韧带的非炎性疾患,2258,0,1600,3858,0,0,0,0
N91-N92,月经疾患,3422,0,985,4407,0,0,0,0
N95,绝经期和其他围绝经期的疾患,3466,0,757,4223,0,0,0,0
N97,女性不育症,4142,0,27,4169,0,0,0,0
"N82, N84-N90, N93-N94, N96, N98-N99",泌尿生殖道其他疾患,8219,3,9033,17255,0,2,0,2
O03,自然流产,3262,0,622,3884,0,0,0,0
O04,医疗性流产,732,2,4070,4804,0,0,0,0
"O00-O02, O05-O08",其他流产结局的妊娠,6046,0,1222,7268,0,0,0,0
O10-O16,妊娠、分娩和产褥期的水肿、蛋白尿和高血压疾患,2662,0,71,2733,0,1,0,1
O44-O46,前置胎盘、胎盘的过早分离和产前出血,3766,0,126,3892,0,0,0,0
"O30-O43, O47-O48",与胎儿和羊膜腔及可能的分娩问题有关的其他孕产妇医疗,17858,9,1854,19721,0,0,0,0
O64-O66,梗阻性分娩,137,0,23,160,0,0,0,0
O72,产后出血,1450,0,28,1478,0,0,0,0
"O20-O29, O60-O63, O67-O71, O73-O75, O81-O84",妊娠和分娩的其他并发症,27813,21,12420,40254,0,0,0,0
O80,单胎顺产,9645,7,4707,14359,0,0,0,0
O85-O99,主要与产褥期和其他产科情况有关的并发症，不可归类在他处者,11209,0,105,11314,0,0,0,0
P00-P04,胎儿和新生儿受母体因素和妊娠、产程和分娩并发症的影响,3509,0,6,3515,1,0,0,1
P05-P07,胎儿生长缓慢、胎儿营养不良和与孕期短和低出生体重有关的疾患,3268,0,70,3338,0,8,0,8
P10-P15,产伤,179,0,14,193,0,0,0,0
P20-P21,子宫内低氧症和出生窒息,1647,0,4,1651,0,0,0,0
P22-P28,起源于围生期的其他呼吸性疾患,1812,0,99,1911,5,7,0,12
P35-P37,先天性传染病和寄生虫病,538,0,45,583,2,0,0,2
P38-P39,特发于围生期的其他感染,716,0,5,721,0,0,0,0
P55,胎儿和新生儿的溶血性疾病,128,0,1,129,0,0,0,0
"P08, P29, P50-P54, P56-P96",起源于围生期的其他情况,22196,0,1056,23252,10,9,0,19
Q05,脊柱裂,110,0,1,111,0,0,0,0
"Q00-Q04, Q06-Q07",神经系统其他先天性畸形,180,0,21,201,3,1,0,4
Q20-Q28,循环系统先天性畸形,4611,0,131,4742,19,21,0,40
Q35-Q37,唇裂和颚裂,353,0,43,396,0,0,0,0
Q41,小肠先天性缺如、闭锁和狭窄,26,0,1,27,0,0,0,0
"Q38-Q40, Q42-Q45",消化系统其他先天性畸形,687,0,93,780,1,4,0,5
Q53,睪丸未降,376,0,90,466,0,0,0,0
"Q50-Q52, Q54-Q64",泌尿生殖系统其他畸形,1246,13,140,1399,2,4,0,6
Q65,髋先天性变形,49,0,12,61,0,0,0,0
Q66,足先天性变形,174,0,16,190,0,0,0,0
Q67-Q79,肌肉骨骼系统其他先天性畸形和变形,966,17,72,1055,0,1,0,1
"Q10-Q18, Q30-Q34, Q80-Q89",其他先天性畸形,2067,1,196,2264,5,3,0,8
Q90-Q99,染色体异常，不可归类在他处者,175,0,3,178,3,3,0,6
R10,腹部和盆腔痛,26696,223,3520,30439,0,0,0,0
R50,其他原因和原因不明的发热,13806,220,866,14892,0,0,0,0
R54,衰老,11,48,2,61,273,488,0,761
"R00-R09, R11-R49, R51-R53, R55-R99",其他症状、体征和临床与实验室异常所见，不可归类在他处者,162018,3752,14377,180147,287,121,4,412
S02,颅骨和面骨骨折,1021,0,282,1303,5,1,0,6
"S12, S22, S32, T08",颈部、胸部或骨盆骨折,4230,0,446,4676,7,7,0,14
S72,股骨骨折,10884,0,275,11159,30,30,0,60
"S42, S52, S62, S82, S92, T10, T12",其他四肢骨的骨折,21188,6,3270,24464,0,2,0,2
T02,累及身体多个部位的骨折,3,0,37,40,0,2,0,2
"S03, S13, S23, S33, S43, S53, S63, S73, S83, S93, T03",特指和身体多个部位的脱位、扭伤和劳损,4518,37,4621,9176,1,0,0,1
S05,眼和眶损伤,224,8,137,369,0,0,0,0
S06,颅内损伤,14038,0,177,14215,81,62,0,143
"S26-S27, S36-S37",其他内部器官损伤,292,0,50,342,10,9,0,19
"S07-S08, S17-S18, S28, S38, S47-S48, S57-S58, S67-S68, S77-S78, S87-S88, S97-S98, T04-T05",特指和身体多个部位的挤压伤和创伤性截断,1073,6,59,1138,1,0,0,1
"S00-S01, S04, S09-S11, S14-S16, S19-S21, S24-S25, S29-S31, S34-S35, S39-S41, S44-S46, S49-S51, S54-S56, S59-S61, S64-S66, S69-S71, S74-S76, S79-S81, S84-S86, S89-S91, S94-S96, S99, T00-T01, T06-T07, T09, T11, T13-T14",特指、未特指和身体多个部位的其他损伤,20086,73,9525,29684,484,254,0,738
T15-T19,通过自然腔口进入异物的效应,2586,0,359,2945,68,68,0,136
T20-T32,烧伤和腐蚀伤,1136,2,77,1215,14,4,0,18
T36-T50,药物和生物制品中毒,2483,0,31,2514,87,24,0,111
T51-T65,主要为非药用物质的毒性效应,363,0,18,381,85,43,0,128
T74,虐待综合症,701,0,0,701,1,0,0,1
"T33-T35, T66-T73, T75-T78",外因的其他和未特指效应,2310,0,301,2611,191,100,0,291
T79-T88,创伤的某些早期并发症以及手术和医疗并发症，不可归类在他处者,9669,0,548,10217,16,9,0,25
T90-T98,损伤、中毒和外因的其他后果的后遗症,94,0,11,105,1,0,0,1
Z00-Z13,为检查和调查而与保健机构接触的人,51239,776,1073,53088,0,0,0,0
Z21,无症状的人类免疫缺陷病毒感染状态,15,0,1,16,0,0,0,0
"Z20, Z22-Z29",具有与传染病有关的潜在健康危害的其他人,1127,0,4,1131,0,0,0,0
Z30,避孕问题,235,0,75,310,0,0,0,0
Z34-Z36,出生前筛选和其他妊娠监督,9103,8,35,9146,0,0,0,0
Z38,按照出生地点划分活产婴儿,16083,0,17183,33266,0,0,0,0
Z39,产后医疗和检查,2,3,0,5,0,0,0,0
Z40-Z54,为特殊操作和卫生保健而与保健机构接触的人,13549,2706,2294,18549,0,0,0,0
"Z31-Z33, Z37, Z55-Z99",为其他原因而与保健机构接触的人,19706,101,1026,20833,0,0,0,0
,诊断不详,11173,0,0,11173,0,0,0,0
,合计,1809770,15902,374732,2200404,25408,20471,4,45883
,,,,,,,,,
注：,,,,,,,,,
由二零零一年起，疾病及死因分类乃根据《疾病和有关健康问题的国际统计分类》(ICD)第十次修订本。二零零一年及以后的数字未必可与以往年份根据ICD第九次修订本所编制的数字互相比较。,,,,,,,,,
疾病类别的中文名称是以北京协和医院世界卫生组织国际分类家族合作中心所编译的疾病名称作为基准。,,,,,,,,,
HA = 医院管理局; CI = 惩教署,,,,,,,,,
* 指包括日间住院病人在内的出院人次及死亡人数。不包括在护养院接受治疗的住院病人。,,,,,,,,,
